variant;run;score;time_ms;iterations;states
standard;670;23011;41.968;31.0;32
standard;671;23179;53.416;33.0;34
standard;672;23133;53.218;30.0;31
standard;673;23093;55.144;33.0;34
standard;674;23093;59.671;33.0;34
standard;675;23114;34.728;31.0;32
standard;676;22978;59.321;33.0;34
standard;677;22999;61.635;31.0;32
standard;678;23052;38.968;28.0;29
standard;679;23201;54.786;33.0;34
standard;680;23250;40.403;32.0;33
standard;681;22757;54.042;31.0;32
standard;682;23193;61.112;33.0;34
standard;683;23239;31.569;31.0;32
standard;684;23182;49.906;36.0;37
standard;685;23060;48.718;33.0;34
standard;686;22931;45.130;32.0;33
standard;687;23090;57.187;34.0;35
standard;688;22922;54.699;31.0;32
standard;689;23008;41.257;31.0;32
standard;690;23155;54.842;31.0;32
standard;691;23164;57.792;33.0;34
standard;692;23078;44.681;32.0;33
standard;693;22985;45.045;31.0;32
standard;694;23280;46.004;33.0;34
standard;695;23130;54.425;29.0;30
standard;696;23274;32.778;32.0;33
standard;697;23205;66.713;34.0;35
standard;698;23230;58.458;34.0;35
standard;699;23257;61.442;34.0;35
standard;700;22947;30.274;29.0;30
standard;701;23116;62.406;33.0;34
standard;702;23184;40.005;33.0;34
standard;703;23098;84.566;33.0;34
standard;704;23047;63.859;34.0;35
standard;705;23027;57.795;31.0;32
standard;706;23155;39.860;34.0;35
standard;707;23111;61.199;32.0;33
standard;708;23040;66.327;33.0;34
standard;709;23183;63.799;33.0;34
standard;710;23170;64.716;31.0;32
standard;711;23105;54.523;33.0;34
standard;712;23263;69.407;33.0;34
standard;713;23038;44.288;34.0;35
standard;714;23104;66.224;34.0;35
standard;715;23216;64.326;35.0;36
standard;716;23284;45.374;31.0;32
standard;717;23054;33.741;32.0;33
standard;718;23182;62.254;34.0;35
standard;719;23233;64.585;34.0;35
standard;720;22944;37.037;31.0;32
standard;721;23223;64.386;34.0;35
standard;722;23020;65.665;35.0;36
standard;723;23086;37.459;31.0;32
standard;724;23039;57.652;33.0;34
standard;725;23236;36.418;34.0;35
standard;726;23148;63.002;32.0;33
standard;727;23040;61.439;34.0;35
standard;728;23213;62.551;33.0;34
